,fips,cases,deaths,employed-sugar-intake-daily,Democrats,Republicans
14698,54,294014,4837,46.1,False,True
14699,55,974996,9955,29.7,False,True
14700,2,150004,856,26.2,False,True
14701,4,1269780,22307,33.0,False,True
14702,6,5085477,74670,22.9,True,False
14703,9,421692,8905,18.9,True,False
14704,11,66912,1196,18.5,True,False
14705,18,1104804,17557,35.9,False,True
14706,19,525458,7354,34.2,False,True
14707,20,466340,6717,32.4,False,True
14708,21,790608,11038,43.4,False,True
14709,24,586376,11206,28.0,True,False
14710,27,912494,9506,23.5,True,False
14711,28,514171,10285,49.7,False,True
14712,31,309828,3155,31.1,False,True
14713,34,1252705,28390,22.7,True,False
14714,36,2728612,57049,23.1,True,False
14715,37,1536384,18760,42.1,False,True
14716,39,1690217,26587,32.0,False,True
14717,40,666927,10879,46.5,False,True
14718,45,918321,14210,42.0,False,True
14719,49,595933,3528,30.3,False,True
14720,50,50014,410,16.7,True,False
14721,54,294794,4868,46.1,False,True
14722,55,980861,10006,29.7,False,True
14723,2,150328,857,26.2,False,True
14724,4,1272943,22350,33.0,False,True
14725,6,5090300,74781,22.9,True,False
14726,9,422785,8909,18.9,True,False
14727,11,67047,1196,18.5,True,False
14728,18,1110812,17621,35.9,False,True
14729,19,530060,7445,34.2,False,True
14730,20,470543,6736,32.4,False,True
14731,21,793923,11090,43.4,False,True
14732,24,587518,11220,28.0,True,False
14733,27,916066,9606,23.5,True,False
14734,28,514639,10287,49.7,False,True
14735,31,311212,3158,31.1,False,True
14736,34,1255893,28409,22.7,True,False
14737,36,2737932,57107,23.1,True,False
14738,37,1537345,18786,42.1,False,True
14739,39,1699161,26587,32.0,False,True
14740,40,667512,10879,46.5,False,True
14741,45,919184,14233,42.0,False,True
14742,49,598230,3545,30.3,False,True
14743,50,50510,413,16.7,True,False
14744,54,295949,4895,46.1,False,True
14745,55,986229,10048,29.7,False,True
14746,2,150672,859,26.2,False,True
14747,4,1276955,22383,33.0,False,True
14748,6,5099788,74884,22.9,True,False
